
Naive Bayes Classifier

                 Class
Attribute           cp     im     pp    imU     om    omL    imL    imS
  0.78              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.79              1.0    7.0    1.0    5.0    1.0    1.0    1.0    2.0
  0.8               1.0    6.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.81              1.0    5.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.82              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.83              1.0    4.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.84              1.0    3.0    1.0    1.0    1.0    1.0    2.0    1.0
  0.85              1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.86              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.87              1.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.88              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.89              1.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.9               1.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.92              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.94              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.99              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  [total]         152.0  154.0  129.0  112.0   97.0   82.0   79.0   79.0



Time taken to build model: 0.27 seconds
Time taken to test model on training data: 0.06 seconds

=== Error on training data ===

Correctly Classified Instances         262               97.7612 %
Incorrectly Classified Instances         6                2.2388 %
Kappa statistic                          0.9711
K&B Relative Info Score              24038.8075 %
K&B Information Score                  579.9742 bits      2.1641 bits/instance
Class complexity | order 0             634.6038 bits      2.3679 bits/instance
Class complexity | scheme               54.9782 bits      0.2051 bits/instance
Complexity improvement     (Sf)        579.6256 bits      2.1628 bits/instance
Mean absolute error                      0.0272
Root mean squared error                  0.0808
Relative absolute error                 13.9303 %
Root relative squared error             25.8861 %
Total Number of Instances              268     


=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 1         0.005      0.987     1         0.993      1        cp
                 0.987     0.021      0.95      0.987     0.968      0.998    im
                 1         0.005      0.981     1         0.99       1        pp
                 0.914     0          1         0.914     0.955      1        imU
                 0.95      0          1         0.95      0.974      1        om
                 1         0          1         1         1          1        omL
                 1         0          1         1         1          1        imL
                 0.5       0          1         0.5       0.667      1        imS
Weighted Avg.    0.978     0.008      0.978     0.978     0.977      0.999


=== Confusion Matrix ===

  a  b  c  d  e  f  g  h   <-- classified as
 75  0  0  0  0  0  0  0 |  a = cp
  1 76  0  0  0  0  0  0 |  b = im
  0  0 52  0  0  0  0  0 |  c = pp
  0  3  0 32  0  0  0  0 |  d = imU
  0  0  1  0 19  0  0  0 |  e = om
  0  0  0  0  0  5  0  0 |  f = omL
  0  0  0  0  0  0  2  0 |  g = imL
  0  1  0  0  0  0  0  1 |  h = imS


=== Error on test data ===

Correctly Classified Instances          57               83.8235 %
Incorrectly Classified Instances        11               16.1765 %
Kappa statistic                          0     
K&B Relative Info Score               3243.8928 %
K&B Information Score                   78.264  bits      1.1509 bits/instance
Class complexity | order 0             126.5206 bits      1.8606 bits/instance
Class complexity | scheme               53.9146 bits      0.7929 bits/instance
Complexity improvement     (Sf)         72.606  bits      1.0677 bits/instance
Mean absolute error                      0.0861
Root mean squared error                  0.1802
Relative absolute error                 47.5418 %
Root relative squared error             62.4737 %
Total Number of Instances               68     


=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.838     0          1         0.838     0.912      ?        cp
                 0         0.059      0         0         0          ?        im
                 0         0.088      0         0         0          ?        pp
                 0         0          0         0         0          ?        imU
                 0         0.015      0         0         0          ?        om
                 0         0          0         0         0          ?        omL
                 0         0          0         0         0          ?        imL
                 0         0          0         0         0          ?        imS
Weighted Avg.    0.838     0          1         0.838     0.912      0    


=== Confusion Matrix ===

  a  b  c  d  e  f  g  h   <-- classified as
 57  4  6  0  1  0  0  0 |  a = cp
  0  0  0  0  0  0  0  0 |  b = im
  0  0  0  0  0  0  0  0 |  c = pp
  0  0  0  0  0  0  0  0 |  d = imU
  0  0  0  0  0  0  0  0 |  e = om
  0  0  0  0  0  0  0  0 |  f = omL
  0  0  0  0  0  0  0  0 |  g = imL
  0  0  0  0  0  0  0  0 |  h = imS

