

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    48 1:positive 2:negative   +   0.708 (o,x,x,b,b,x,o,o,x)
    49 1:positive 1:positive       0.755 (b,x,o,x,x,x,o,b,o)
    50 1:positive 2:negative   +   0.715 (x,o,b,x,o,b,x,b,b)
    51 1:positive 1:positive       0.532 (b,x,o,b,x,b,o,x,b)
    52 1:positive 1:positive       0.564 (o,b,x,o,o,x,b,x,x)
    53 1:positive 1:positive       0.932 (b,b,b,x,x,x,o,o,b)
    54 1:positive 1:positive       0.843 (o,o,x,o,x,x,x,o,x)
    55 1:positive 1:positive       0.841 (o,o,x,x,x,b,x,b,o)
    56 1:positive 2:negative   +   0.791 (x,o,b,x,o,x,x,b,o)
    57 1:positive 1:positive       0.932 (b,o,x,b,x,o,x,o,x)
    58 1:positive 1:positive       0.834 (o,o,x,x,b,x,b,o,x)
    59 1:positive 1:positive       0.867 (x,o,b,b,o,o,x,x,x)
    60 1:positive 1:positive       0.942 (o,b,b,b,b,o,x,x,x)
    61 1:positive 1:positive       0.714 (o,x,b,x,x,o,b,x,o)
    62 1:positive 1:positive       0.914 (b,o,x,b,x,b,x,b,o)
    63 1:positive 1:positive       0.83 (o,x,b,o,o,b,x,x,x)
    64 1:positive 1:positive       0.906 (b,o,x,x,b,x,o,o,x)
    65 1:positive 1:positive       0.857 (b,x,b,o,x,o,o,x,x)
    66 1:positive 1:positive       0.617 (o,o,b,b,o,x,x,x,x)
    67 1:positive 1:positive       0.9 (b,b,o,o,b,b,x,x,x)
    68 1:positive 2:negative   +   0.833 (o,x,x,x,x,o,o,x,o)
    69 1:positive 1:positive       0.92 (b,o,x,o,x,x,x,o,b)
    70 1:positive 1:positive       0.764 (b,o,x,o,o,x,x,b,x)
    71 1:positive 1:positive       0.922 (o,b,x,o,x,x,b,o,x)
    72 1:positive 2:negative   +   0.629 (o,x,o,x,x,x,o,b,b)
    73 1:positive 1:positive       0.896 (x,o,b,o,x,b,x,o,x)
    74 1:positive 1:positive       0.884 (o,o,b,o,x,b,x,x,x)
    75 1:positive 2:negative   +   0.567 (x,b,b,x,b,o,x,b,o)
    76 1:positive 1:positive       0.607 (b,x,o,o,x,b,o,x,x)

