

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
  1088        4:E        5:F   +   0.452 (3,line,1,38,22,40,21.1,50)
  1089        4:E       10:R   +   0.508 (3,line,2,36,9,37,7.07,38.9)
  1090        4:E        4:E       0.535 (0,line,0,0,0,25,25,48.6)
  1091        4:E        5:F   +   0.629 (2,line,0,24,32,22,32.06,47.38)
  1092        4:E        6:G   +   0.459 (0,line,0,0,0,6,6,19.1)
  1093        4:E        4:E       0.647 (1,line,0,20,1,26,6.08,38.21)
  1094       10:R        8:L   +   0.786 (0,line,0,0,1,24,24.02,40.5)
  1095       10:R       10:R       0.635 (2,line,0,42,8,39,8.54,45.31)
  1096       10:R       10:R       0.909 (1,line,1,32,1,57,25,60.75)
  1097       10:R        8:L   +   0.545 (0,line,0,0,1,24,24.02,65.19)
  1098       10:R        9:P   +   0.599 (2,line,0,45,10,41,10.77,50.09)
  1099       10:R       10:R       0.837 (5,line,0,7,18,0,19.31,56.3)
  1100       10:R        8:L   +   0.73 (0,line,0,0,2,24,24.08,33.73)
  1101       10:R       10:R       0.758 (2,line,1,52,14,47,13.93,54.12)
  1102       10:R       10:R       0.721 (6,line,5,26,0,23,5.83,38.08)
  1103       10:R       10:R       0.585 (4,line,18,36,18,27,9,46.62)
  1104       10:R       10:R       0.912 (5,line,18,41,6,37,12.65,57.87)
  1105       10:R       10:R       0.872 (3,line,18,52,33,46,16.16,63.29)
  1106       10:R       10:R       0.809 (1,line,2,34,2,47,13,56.3)
  1107       10:R        9:P   +   0.297 (5,line,10,12,0,6,11.66,32.7)
  1108       10:R        9:P   +   0.898 (3,line,7,34,7,29,5,35.69)
  1109       10:R       10:R       0.441 (2,line,0,39,20,30,21.93,49.2)
  1110       10:R       10:R       0.682 (2,line,2,42,27,40,25.08,50.48)
  1111       10:R        9:P   +   0.783 (1,line,0,22,0,47,25,51.48)
  1112       10:R       10:R       0.999 (7,line,0,6,21,0,21.84,64.4)
  1113       10:R        9:P   +   0.608 (2,line,1,36,7,34,6.32,38.63)
  1114       10:R        3:D   +   0.378 (3,line,12,30,20,23,10.63,40.31)
  1115       10:R        9:P   +   0.543 (6,line,18,21,0,14,19.31,58.87)
  1116       10:R       10:R       0.808 (4,line,17,29,17,18,11,42.54)
  1117       10:R       10:R       0.817 (2,line,1,50,21,36,24.41,55.04)
  1118       10:R        9:P   +   0.582 (6,line,10,30,0,24,11.66,63.89)
  1119       10:R        9:P   +   0.818 (2,line,0,31,10,30,10.05,32.89)
  1120       10:R        6:G   +   0.611 (6,line,18,11,0,6,18.68,40.82)
  1121       10:R       10:R       0.463 (1,line,0,32,0,41,9,48.02)
  1122       10:R        8:L   +   0.586 (1,line,0,20,0,28,8,32.76)
  1123       10:R        8:L   +   0.739 (0,line,0,0,1,21,21.02,47.54)
  1124       10:R        9:P   +   0.756 (3,line,10,32,10,25,7,39.29)
  1125       10:R       10:R       0.746 (2,line,0,53,14,46,15.65,54.82)
  1126       10:R       10:R       0.454 (4,line,34,41,34,28,13,62.13)
  1127       10:R        9:P   +   0.632 (0,line,0,0,0,37,37,63.07)
  1128       10:R       10:R       0.948 (3,line,5,47,10,44,5.83,50.01)
  1129       10:R       10:R       0.553 (0,line,0,0,2,30,30.07,53.31)
  1130       10:R        5:F   +   0.455 (0,line,0,0,2,22,22.09,48.1)
  1131       10:R        9:P   +   0.416 (2,line,0,38,7,38,7,39.05)
  1132       10:R       10:R       0.694 (2,line,2,39,11,35,9.85,42.54)
  1133       10:R        8:L   +   0.452 (0,line,0,0,2,25,25.08,52.81)
  1134       10:R        7:H   +   0.515 (4,line,14,20,12,13,7.28,34.93)
  1135       10:R       10:R       0.562 (1,line,0,35,0,48,13,56.08)
  1136       10:R       10:R       0.575 (1,line,1,37,1,60,23,68)
  1137       10:R       10:R       0.882 (1,line,1,30,1,52,22,62.13)
  1138       10:R        9:P   +   0.564 (1,line,1,34,1,43,9,43.93)
  1139       10:R        9:P   +   0.624 (0,line,0,0,0,33,33,67.42)
  1140       10:R       10:R       0.929 (5,line,0,14,13,0,19.1,47.01)
  1141       10:R        7:H   +   0.446 (4,line,24,18,0,7,26.4,45.79)
  1142       10:R       10:R       0.986 (5,line,0,6,17,0,18.03,56.85)
  1143       10:R        9:P   +   0.668 (4,line,10,15,0,6,13.45,32.89)
  1144       10:R       10:R       0.706 (3,line,14,40,28,31,16.64,52.15)
  1145       10:R       10:R       0.715 (6,line,11,12,0,6,12.53,42.54)
  1146       10:R        7:H   +   0.43 (4,line,16,23,0,11,20,48.1)
  1147       10:R       10:R       0.891 (3,line,17,39,19,28,11.18,47.93)
  1148       10:R        9:P   +   0.624 (5,line,21,17,0,6,23.71,52.8)
  1149       10:R        9:P   +   0.784 (2,line,0,48,7,44,8.06,48.51)
  1150       10:R       10:R       0.386 (1,line,2,20,2,33,13,34.21)
  1151       10:R       10:R       0.922 (1,line,1,29,1,49,20,54.13)
  1152       10:R       10:R       0.584 (4,line,15,26,0,20,16.16,39.92)
  1153       10:R       10:R       0.999 (6,line,0,17,12,0,20.81,43.97)
  1154       10:R       10:R       0.783 (5,line,17,33,8,27,10.82,54.71)
  1155       10:R       10:R       0.429 (6,line,12,17,0,12,13,40.5)
  1156       10:R        9:P   +   0.908 (4,line,21,27,20,16,11.05,51.48)
  1157       10:R       10:R       0.498 (2,line,0,46,6,42,7.21,47.8)
  1158       10:R        4:E   +   0.468 (0,line,0,0,2,21,21.1,44.28)
  1159       10:R       10:R       0.616 (3,line,4,33,9,30,5.83,34.21)
  1160       10:R       10:R       0.539 (1,line,1,34,1,51,17,52.17)
  1161       10:R       10:R       0.994 (7,line,0,11,15,0,18.6,50.48)
  1162       10:R        6:G   +   0.303 (4,line,34,30,34,18,12,52.5)
  1163       10:R       10:R       0.916 (5,line,12,37,11,34,3.16,50.45)
  1164       10:R       10:R       0.927 (2,line,1,46,20,42,19.42,50.57)
  1165       10:R        9:P   +   0.401 (0,line,0,0,0,26,26,44.92)
  1166       10:R        4:E   +   0.5 (0,line,0,0,2,24,24.08,37.7)
  1167       10:R        9:P   +   0.393 (0,line,0,0,0,30,30,48.1)
  1168       10:R       10:R       0.524 (3,line,6,46,21,42,15.52,52.39)
  1169       10:R       10:R       0.947 (6,line,0,7,16,0,17.46,43.91)
  1170       10:R       10:R       0.997 (6,line,0,12,21,0,24.19,55.15)
  1171       10:R       10:R       0.772 (4,line,14,24,0,13,17.8,47.17)
  1172       10:R       10:R       0.538 (6,line,8,25,0,20,9.43,51.26)
  1173       10:R        9:P   +   0.785 (4,line,15,34,14,27,7.07,48.38)
  1174       10:R       10:R       0.928 (1,line,1,33,1,49,16,57.45)
  1175       10:R       10:R       0.94 (2,line,0,44,14,41,14.32,47.17)
  1176       10:R        6:G   +   0.601 (4,line,4,21,0,18,5,27.29)
  1177       10:R       10:R       0.795 (2,line,1,47,17,37,18.87,49.98)
  1178       10:R        6:G   +   0.561 (5,line,10,23,4,20,6.71,34.48)
  1179       10:R        3:D   +   0.781 (5,line,17,18,12,12,7.81,42.54)
  1180       10:R       10:R       1 (6,line,0,6,19,0,19.92,48.33)
  1181       10:R        9:P   +   0.74 (4,line,7,26,0,21,8.6,33.73)
  1182       10:R       10:R       0.47 (4,line,17,26,0,19,18.38,42.54)
  1183       10:R       10:R       0.889 (2,line,1,33,11,30,10.44,34.79)
  1184       10:R        8:L   +   0.45 (0,line,0,0,2,32,32.06,50.45)
  1185       10:R       10:R       0.701 (2,line,0,49,21,42,22.14,54.56)
  1186       10:R       10:R       0.513 (4,line,10,33,0,25,12.81,48.05)
  1187       10:R        9:P   +   0.899 (3,line,41,46,44,38,8.54,68.12)
  1188       10:R       10:R       0.786 (3,line,8,56,18,51,11.18,62.64)
  1189       10:R       10:R       0.694 (5,line,15,31,8,26,8.6,51.24)
  1190       10:R        8:L   +   0.431 (0,line,0,0,0,28,28,47.85)
  1191       10:R       10:R       0.999 (6,line,0,17,17,0,24.04,54.08)
  1192       10:R       10:R       0.612 (1,line,1,29,1,43,14,47.01)
  1193       10:R        9:P   +   0.626 (0,line,0,0,0,36,36,56.94)
  1194       10:R       10:R       0.681 (1,line,0,30,0,45,15,48.1)
  1195       10:R       10:R       0.653 (4,line,10,29,10,23,6,34.48)
  1196       10:R        9:P   +   0.815 (4,line,25,38,21,25,13.6,65)
  1197       10:R       10:R       0.288 (0,line,0,0,1,31,31.02,44.94)
  1198       10:R       10:R       0.759 (6,line,15,31,0,25,16.16,59.48)
  1199       10:R        3:D   +   0.886 (3,line,12,27,19,20,9.9,37.22)
  1200       10:R        8:L   +   0.466 (0,line,0,0,0,27,27,34.53)
  1201       10:R        9:P   +   0.641 (2,line,0,50,9,48,9.22,50.99)
  1202       10:R       10:R       0.863 (2,line,1,46,10,42,9.85,50.57)
  1203       10:R        6:G   +   0.539 (6,line,8,23,0,18,9.43,52.84)
  1204       10:R       10:R       0.677 (3,line,14,41,15,32,9.06,46.49)
  1205       10:R       10:R       0.991 (6,line,0,9,16,0,18.36,47.93)
  1206       10:R        7:H   +   0.392 (4,line,16,25,14,17,8.25,42.15)
  1207       10:R        8:L   +   0.418 (0,line,0,0,2,39,39.05,63.32)
  1208       10:R        9:P   +   0.734 (3,line,21,46,21,36,10,57.01)
  1209       10:R       10:R       0.746 (1,line,2,30,2,40,10,43.86)
  1210       10:R       10:R       0.998 (6,line,0,6,16,0,17.09,47.01)
  1211       10:R       10:R       0.549 (6,line,16,21,0,15,17.09,49.98)
  1212       10:R        8:L   +   0.779 (0,line,0,0,1,21,21.02,31.78)
  1213       10:R       10:R       1 (7,line,0,6,22,0,22.8,61.22)
  1214       10:R       10:R       0.871 (3,line,17,39,17,30,9,48.1)
  1215       10:R        9:P   +   0.65 (3,line,8,43,26,38,18.68,52.84)
  1216       10:R       10:R       0.713 (2,line,2,44,17,36,17,48.33)
  1217       10:R       10:R       0.998 (6,line,0,12,21,0,24.19,56.08)
  1218       10:R        6:G   +   0.902 (3,line,3,39,3,36,3,42.19)
  1219       10:R       10:R       0.998 (7,line,0,23,10,0,25.08,44.92)
  1220       10:R       10:R       0.811 (2,line,0,48,23,42,23.77,53.67)
  1221       10:R       10:R       0.574 (2,line,0,39,14,33,15.23,42.15)
  1222       10:R       10:R       0.889 (3,line,4,44,9,41,5.83,46.87)
  1223       10:R        8:L   +   0.431 (0,line,0,0,0,25,25,51.43)
  1224       10:R        5:F   +   0.413 (1,line,0,22,0,35,13,38.08)
  1225       10:R       10:R       0.762 (4,line,19,37,19,24,13,52.55)
  1226       10:R       10:R       0.992 (5,line,0,6,24,0,24.74,60.01)
  1227       10:R       10:R       0.621 (4,line,15,32,14,25,7.07,46.49)
  1228       10:R        8:L   +   0.618 (0,line,0,0,1,20,20.02,42.15)
  1229       10:R        8:L   +   0.625 (0,line,0,0,0,29,29,41.44)
  1230       10:R        9:P   +   0.559 (0,line,0,0,0,32,32,52.84)
  1231       10:R       10:R       0.996 (5,line,0,33,10,0,34.48,56.08)
  1232       10:R       10:R       0.614 (1,line,0,31,0,52,21,56.08)
  1233       10:R       10:R       0.873 (5,line,0,6,16,0,17.09,44.28)
  1234       10:R       10:R       0.545 (4,line,21,33,19,22,11.18,56.08)
  1235       10:R       10:R       0.543 (4,line,14,30,0,24,15.23,42.38)
  1236       10:R        7:H   +   0.606 (0,line,0,0,0,22,22,34.93)
  1237       10:R       10:R       0.886 (3,line,14,52,16,43,9.22,57.28)
  1238       10:R        9:P   +   0.701 (1,line,0,28,0,35,7,35.69)
  1239       10:R       10:R       0.308 (1,line,0,25,0,39,14,40.02)
  1240       10:R        9:P   +   0.575 (1,line,1,34,1,59,25,63.69)
  1241       10:R        8:L   +   0.309 (0,line,0,0,0,32,32,48.02)
  1242       10:R       10:R       0.951 (5,line,17,25,8,19,10.82,47.17)
  1243       10:R        9:P   +   0.589 (5,line,14,34,0,26,16.12,56.04)
  1244       10:R       10:R       0.924 (3,line,10,52,11,45,7.07,55.11)
  1245       10:R        9:P   +   0.549 (3,line,7,38,9,35,3.61,39.05)
  1246       10:R        9:P   +   0.527 (4,line,21,34,17,23,11.7,56.08)
  1247       10:R       10:R       0.997 (6,line,0,11,11,0,15.56,42.72)
  1248       10:R       10:R       0.852 (2,line,0,43,18,33,20.59,46.62)
  1249       10:R        3:D   +   0.414 (5,line,10,18,0,12,11.66,32.89)
  1250       10:R       10:R       0.649 (4,line,23,29,21,18,11.18,55.04)
  1251       10:R       10:R       0.311 (0,line,0,0,1,27,27.02,45.19)
  1252       10:R       10:R       0.821 (1,line,2,31,2,43,12,46.62)
  1253       10:R       10:R       0.938 (2,line,2,60,11,54,10.82,63.91)
  1254       10:R       10:R       0.872 (3,line,14,30,17,23,7.62,42.05)
  1255       10:R       10:R       0.535 (1,line,1,27,1,49,22,58.52)
  1256       10:R       10:R       0.77 (5,line,17,23,0,13,19.72,56.08)
  1257       10:R        3:D   +   0.785 (4,line,19,20,12,13,9.9,37.22)
  1258       10:R        9:P   +   0.582 (3,line,21,50,23,44,6.32,59.62)
  1259       10:R       10:R       0.516 (0,line,0,0,2,36,36.06,54.34)
  1260       10:R        6:G   +   0.705 (6,line,12,16,0,8,14.42,58.18)
  1261       10:R       10:R       0.635 (6,line,13,12,0,6,14.32,42.54)
  1262       10:R       10:R       0.902 (3,line,18,50,18,41,9,59.77)
  1263       10:R       10:R       0.733 (2,line,1,42,10,35,11.4,43.97)
  1264       10:R       10:R       0.492 (1,line,1,27,1,38,11,40.5)
  1265       10:R       10:R       0.915 (2,line,1,36,23,27,23.77,42.72)
  1266       10:R       10:R       0.676 (2,line,2,39,14,30,15,42.15)
  1267       10:R       10:R       0.999 (6,line,0,6,16,0,17.09,41.59)
  1268       10:R       10:R       0.408 (6,line,8,24,0,19,9.43,49.65)
  1269       10:R        9:P   +   0.502 (0,line,0,0,0,31,31,44.72)
  1270       10:R        4:E   +   0.357 (0,line,0,0,1,31,31.02,61.85)
  1271       10:R       10:R       0.641 (5,line,35,22,12,14,24.35,60.22)
  1272       10:R        3:D   +   0.507 (5,line,19,24,14,18,7.81,52.55)
  1273       10:R        3:D   +   0.723 (4,line,17,23,14,14,9.49,41.15)
  1274       10:R       10:R       0.871 (3,line,17,39,17,30,9,48.1)
  1275       10:R        9:P   +   0.478 (4,line,14,26,0,15,17.8,49.65)
  1276       10:R       10:R       0.96 (5,line,0,6,11,0,12.53,32.89)
  1277       10:R        9:P   +   0.529 (1,line,2,34,2,57,23,58.94)
  1278       10:R        9:P   +   0.768 (3,line,13,34,20,30,8.06,42.06)
  1279       10:R        5:F   +   0.368 (1,line,0,21,0,35,14,38.08)
  1280       10:R       10:R       0.658 (2,line,0,44,15,36,17,46.82)
  1281       10:R       10:R       0.945 (4,line,17,53,17,42,11,63.32)
  1282       10:R        8:L   +   0.342 (0,line,0,0,1,35,35.01,42.19)
  1283       10:R       10:R       0.995 (6,line,0,26,7,0,26.93,41.23)
  1284       10:R       10:R       0.568 (3,line,19,30,19,23,7,41.59)
  1285       10:R       10:R       0.676 (4,line,21,26,21,16,10,40.82)
  1286       10:R       10:R       0.921 (3,line,15,48,18,44,5,53.14)
  1287       10:R       10:R       0.464 (6,line,6,25,0,21,7.21,47.8)
  1288       10:R        6:G   +   0.391 (5,line,34,18,20,12,15.23,52.5)
  1289       10:R       10:R       0.995 (7,line,0,21,16,0,26.4,64.01)
  1290       10:R       10:R       0.907 (3,line,11,44,22,37,13.04,54.63)
  1291       10:R       10:R       0.996 (7,line,0,23,16,0,28.02,63.29)
  1292       10:R       10:R       0.765 (5,line,39,18,0,6,40.8,73)
  1293       10:R       10:R       0.761 (3,line,13,53,21,48,9.43,60.75)
  1294       10:R        9:P   +   0.481 (2,line,2,35,14,26,15,37.7)
  1295       10:R       10:R       0.747 (4,line,29,35,24,20,15.81,67.98)
  1296       10:R       10:R       1 (7,line,0,6,20,0,20.88,55.04)
  1297       10:R        9:P   +   0.722 (4,line,21,35,17,24,11.7,57.01)
  1298       10:R       10:R       0.653 (2,line,2,28,10,24,8.94,30.87)
  1299       10:R       10:R       0.681 (3,line,8,59,17,53,10.82,63.32)
  1300       10:R        9:P   +   0.696 (0,line,0,0,0,38,38,50.8)
  1301       10:R       10:R       0.997 (7,line,0,14,21,0,25.24,62.13)
  1302       10:R        6:G   +   0.737 (4,line,8,35,8,30,5,38.83)
  1303       10:R       10:R       0.716 (1,line,1,33,1,43,10,44.92)
  1304       10:R       10:R       0.579 (3,line,10,37,19,31,10.82,45.62)
  1305       10:R       10:R       1 (6,line,0,6,18,0,18.97,50.22)
  1306       10:R       10:R       0.696 (3,line,17,33,17,26,7,42.54)
  1307       10:R       10:R       0.582 (1,line,1,24,1,35,11,40.31)
  1308       10:R       10:R       0.985 (5,line,0,12,17,0,20.81,45.31)
  1309       10:R       10:R       0.583 (2,line,0,52,19,46,19.92,57.27)
  1310       10:R        9:P   +   0.841 (0,line,0,0,0,34,34,57.27)
  1311       10:R       10:R       0.725 (1,line,1,38,1,62,24,68.03)
  1312       10:R       10:R       0.833 (3,line,21,42,28,30,13.89,59.06)
  1313       10:R        9:P   +   0.47 (6,line,10,13,0,6,12.21,51.48)
  1314       10:R        4:E   +   0.516 (0,line,0,0,2,20,20.1,34.48)
  1315       10:R       10:R       0.536 (3,line,14,47,28,38,16.64,59.06)
  1316       10:R       10:R       0.997 (7,line,0,20,15,0,25,51.26)
  1317       10:R        9:P   +   0.531 (3,line,8,54,15,49,8.6,58.94)
  1318       10:R        9:P   +   0.479 (1,line,0,26,0,39,13,42.15)
  1319       10:R        5:F   +   0.648 (0,line,0,0,1,26,26.02,45.22)
  1320       10:R       10:R       0.63 (2,line,2,47,14,42,13,49.34)
  1321       10:R        9:P   +   0.554 (3,line,19,36,19,21,15,52.8)
  1322       10:R       10:R       0.936 (5,line,10,39,5,36,5.83,51.97)
  1323       10:R       10:R       0.661 (2,line,0,49,21,36,24.7,53.71)
  1324       10:R        9:P   +   0.736 (1,line,0,37,0,60,23,65)
  1325       10:R       10:R       0.71 (3,line,7,36,7,31,5,39.62)
  1326       10:R       10:R       0.645 (6,line,12,14,0,6,14.42,60.22)
  1327       10:R       10:R       0.562 (6,line,10,21,0,14,12.21,62.13)
  1328       10:R       10:R       0.667 (3,line,12,48,23,40,13.6,58.69)
  1329       10:R       10:R       0.984 (5,line,0,21,10,0,23.26,48.1)
  1330       10:R       10:R       0.682 (2,line,1,52,16,52,15,55.36)
  1331       10:R       10:R       0.758 (2,line,2,47,14,43,12.65,49.65)
  1332       10:R       10:R       0.413 (0,line,0,0,1,30,30.02,43.01)
  1333       10:R        9:P   +   0.704 (4,line,21,35,0,26,22.85,53.31)
  1334       10:R       10:R       0.503 (5,line,10,35,0,29,11.66,52.39)
  1335       10:R       10:R       0.897 (2,line,1,35,10,34,9.06,36.69)
  1336       10:R       10:R       0.877 (4,line,17,20,0,6,22.02,49.4)
  1337       10:R       10:R       1 (6,line,0,6,18,0,18.97,42.05)
  1338       10:R        9:P   +   0.535 (3,line,13,39,13,32,7,44.92)
  1339       10:R        9:P   +   0.676 (3,line,6,53,13,49,8.06,57.72)
  1340       10:R       10:R       0.695 (2,line,2,48,16,42,15.23,52.8)
  1341       10:R       10:R       0.981 (6,line,0,9,10,0,13.45,31.95)
  1342       10:R        6:G   +   0.677 (6,line,4,27,0,24,5,42.2)
  1343       10:R       10:R       0.565 (6,line,16,14,0,6,17.89,67.48)
  1344       10:R        9:P   +   0.71 (3,line,11,52,17,47,7.81,56.61)
  1345       10:R        9:P   +   0.905 (5,line,10,34,0,28,11.66,50.22)
  1346       10:R       10:R       0.767 (5,line,21,18,0,6,24.19,57.7)
  1347       10:R       10:R       0.797 (1,line,1,30,1,47,17,49.98)
  1348       10:R        4:E   +   0.421 (0,line,0,0,1,26,26.02,47.17)
  1349       10:R        4:E   +   0.394 (0,line,0,0,1,24,24.02,37.12)
  1350       10:R       10:R       0.99 (7,line,0,23,8,0,24.35,36.88)
  1351       10:R        9:P   +   0.8 (3,line,10,46,11,39,7.07,50.22)
  1352       10:R        9:P   +   0.352 (0,line,0,0,0,33,33,42.45)
  1353       10:R       10:R       0.99 (6,line,0,12,10,0,15.62,32.89)
  1354       10:R       10:R       0.748 (2,line,1,41,6,37,6.4,43.01)
  1355       10:R        8:L   +   0.555 (0,line,0,0,2,34,34.06,47.01)
  1356       10:R       10:R       0.59 (4,line,10,31,9,26,5.1,40.26)
  1357       10:R       10:R       0.51 (1,line,2,34,2,44,10,48.33)
  1358       10:R       10:R       0.514 (5,line,17,16,0,6,19.72,51.48)
  1359       10:R       10:R       0.669 (1,line,1,20,1,37,17,43.05)
  1360       10:R       10:R       0.701 (4,line,17,24,0,17,18.38,41.63)
  1361       10:R       10:R       0.802 (5,line,10,26,0,20,11.66,47.93)
  1362       10:R        9:P   +   0.551 (1,line,0,24,0,46,22,49.77)
  1363       10:R       10:R       0.585 (0,line,0,0,2,36,36.06,49.04)
  1364       10:R        3:D   +   0.609 (3,line,14,27,14,17,10,39.4)
  1365       10:R        8:L   +   0.428 (0,line,0,0,1,25,25.02,53.31)
  1366       10:R       10:R       0.508 (2,line,0,51,7,47,8.06,52.89)
  1367       10:R        9:P   +   0.573 (4,line,18,33,17,26,7.07,48.47)
  1368       10:R       10:R       0.587 (5,line,38,22,12,14,27.2,64.4)
  1369       10:R       10:R       1 (7,line,0,6,20,0,20.88,52.8)
  1370       10:R       10:R       0.509 (1,line,0,25,0,45,20,48.1)
  1371       10:R        5:F   +   0.736 (2,line,0,29,10,28,10.05,34.13)
  1372       10:R        9:P   +   0.662 (2,line,1,60,14,52,15.26,61.61)
  1373       10:R       10:R       0.914 (6,line,19,19,0,13,19.92,53.23)
  1374       10:R        8:L   +   0.608 (0,line,0,0,1,26,26.02,39.85)
  1375       10:R       10:R       0.839 (2,line,1,37,19,30,19.31,41.59)
  1376       10:R       10:R       0.588 (3,line,14,39,14,29,10,49.34)
  1377       10:R       10:R       0.674 (1,line,1,35,1,42,7,42.19)
  1378       10:R        9:P   +   0.631 (4,line,21,21,0,6,25.81,53.31)
  1379       10:R       10:R       0.493 (0,line,0,0,1,33,33.02,48.1)
  1380       10:R       10:R       0.999 (6,line,0,17,14,0,22.02,47.17)
  1381       10:R       10:R       0.63 (1,line,1,31,1,49,18,50.22)
  1382       10:R       10:R       0.996 (7,line,0,30,13,0,32.7,59.46)
  1383       10:R        5:F   +   0.579 (1,line,0,21,0,33,12,36.25)
  1384       10:R       10:R       0.998 (6,line,0,21,15,0,25.81,52.2)
  1385       10:R       10:R       0.499 (1,line,1,30,1,55,25,59.62)
  1386       10:R        6:G   +   0.469 (4,line,9,24,9,19,5,28.46)
  1387       10:R       10:R       0.372 (1,line,0,31,0,42,11,46.96)
  1388       10:R       10:R       0.919 (2,line,0,45,17,36,19.24,48.1)
  1389       10:R       10:R       0.578 (1,line,0,37,0,47,10,48.05)
  1390       10:R        5:F   +   0.664 (1,line,2,22,2,28,6,30.87)
  1391       10:R       10:R       0.607 (2,line,1,44,17,32,20,48.33)
  1392       10:R       10:R       0.937 (1,line,1,38,1,55,17,73)
  1393       10:R       10:R       0.999 (7,line,0,6,17,0,18.03,46.1)
  1394       10:R       10:R       0.502 (2,line,0,30,10,25,11.18,34.48)
  1395       10:R       10:R       0.681 (6,line,12,25,0,21,12.65,43.86)
  1396       10:R        9:P   +   0.503 (0,line,0,0,0,33,33,51.26)
  1397       10:R        6:G   +   0.419 (6,line,41,14,0,6,41.77,68.12)
  1398       10:R       10:R       0.734 (3,line,14,40,14,33,7,49.04)
  1399       10:R       10:R       0.945 (5,line,0,21,6,0,21.84,33.73)
  1400       10:R        6:G   +   0.788 (6,line,4,27,0,24,5,38.83)
  1401       10:R       10:R       0.976 (5,line,0,25,8,0,26.25,44.92)
  1402       10:R       10:R       0.977 (5,line,0,14,18,0,22.8,67.42)
  1403       10:R       10:R       0.868 (2,line,2,46,17,34,19.21,49.4)
  1404       10:R       10:R       0.483 (5,line,16,18,8,13,9.43,41.63)
  1405       10:R        9:P   +   0.515 (1,line,2,25,2,38,13,39.29)
  1406       10:R        9:P   +   0.731 (3,line,19,34,19,24,10,47.01)
  1407       10:R        4:E   +   0.484 (1,line,0,20,0,37,17,47.63)
  1408       10:R       10:R       0.493 (0,line,0,0,1,35,35.01,59.91)
  1409       10:R       10:R       0.996 (6,line,0,7,23,0,24.04,65.22)
  1410       10:R       10:R       0.526 (4,line,16,23,0,12,19.42,45.31)
  1411       10:R       10:R       0.808 (4,line,17,29,17,18,11,42.54)
  1412       10:R       10:R       0.634 (1,line,1,39,1,47,8,49.04)
  1413       10:R       10:R       0.877 (5,line,0,16,12,0,20,44.78)
  1414       10:R        9:P   +   0.459 (4,line,13,26,12,19,7.07,40.5)
  1415       10:R       10:R       0.678 (2,line,0,52,10,48,10.77,56.08)
  1416       10:R       10:R       0.996 (5,line,0,13,17,0,21.4,47.17)
  1417       10:R       10:R       0.376 (2,line,0,34,19,29,19.65,38.95)
  1418       10:R       10:R       0.467 (5,line,19,24,13,20,7.21,40.71)
  1419       10:R        3:D   +   0.549 (3,line,7,35,16,30,10.3,40.31)
  1420       10:R       10:R       0.98 (7,line,0,7,24,0,25,65.8)
  1421       10:R       10:R       0.731 (1,line,1,26,1,32,6,37.22)
  1422       10:R       10:R       0.583 (2,line,1,39,12,35,11.7,42.54)
  1423       10:R        9:P   +   0.622 (6,line,11,33,0,28,12.08,56.61)
  1424       10:R        9:P   +   0.502 (5,line,12,23,0,16,13.89,44.27)
  1425       10:R        7:H   +   0.312 (0,line,0,0,2,25,25.08,49.34)
  1426       10:R        5:F   +   0.415 (0,line,0,0,2,28,28.07,47.43)
  1427       10:R        8:L   +   0.757 (0,line,0,0,2,34,34.06,44.15)
  1428       10:R       10:R       0.999 (7,line,0,20,13,0,23.85,44.92)
  1429       10:R        8:L   +   0.37 (0,line,0,0,1,34,34.01,52.17)
  1430       10:R       10:R       0.958 (1,line,1,39,1,51,12,51.97)
  1431       10:R       10:R       0.817 (1,line,1,28,1,37,9,41.59)
  1432       10:R        9:P   +   0.597 (2,line,0,39,7,36,7.62,40.02)
  1433       10:R       10:R       0.498 (0,line,0,0,1,31,31.02,64.01)
  1434       10:R        8:L   +   0.306 (0,line,0,0,0,28,28,54.08)
  1435       10:R        8:L   +   0.318 (0,line,0,0,1,26,26.02,37.34)
  1436       10:R       10:R       0.788 (4,line,33,29,0,18,34.79,59.91)
  1437       10:R        3:D   +   0.801 (5,line,0,7,12,0,13.89,38.59)
  1438       10:R       10:R       0.768 (1,line,1,21,1,36,15,42.72)
  1439       10:R       10:R       0.883 (1,line,2,32,2,45,13,48.1)
  1440       10:R       10:R       0.485 (2,line,0,37,9,35,9.22,47.63)
  1441       10:R       10:R       0.952 (6,line,5,36,0,33,5.83,51.97)
  1442       10:R       10:R       0.706 (1,line,1,28,1,53,25,59.03)
  1443       10:R       10:R       0.841 (3,line,8,52,11,48,5,55.11)
  1444       10:R        9:P   +   0.467 (4,line,8,23,0,18,9.43,32.98)
  1445        7:H        7:H       0.897 (4,line,13,8,13,18,10,41.11)
  1446        7:H        7:H       0.979 (4,line,12,7,12,23,16,35.11)
  1447        7:H        4:E   +   0.439 (0,line,0,0,0,14,14,45.28)
  1448        7:H        8:L   +   0.462 (0,line,0,0,0,8,8,30.87)
  1449        7:H        4:E   +   0.464 (3,line,0,17,2,36,19.1,42.72)
  1450        7:H        7:H       0.911 (2,line,0,17,25,7,26.93,35.38)
  1451        7:H        8:L   +   0.43 (0,line,0,0,0,16,16,30.53)
  1452        7:H        7:H       0.433 (2,line,0,16,6,11,7.81,39.46)
  1453        7:H        7:H       0.418 (2,line,0,24,9,29,10.3,41)
