

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx)
   246        8:H        8:H       0.71 (3,6,4,4,4,8,7,6,6,7,6,8,3,8,3,8)
   247        8:H        8:H       0.859 (1,1,2,1,1,7,8,11,1,7,5,8,3,8,0,8)
   248        8:H        4:D   +   0.632 (2,1,3,2,2,9,7,6,5,7,6,6,3,8,3,7)
   249        8:H        2:B   +   0.564 (3,7,5,5,6,8,7,4,3,6,6,7,7,8,8,8)
   250        8:H        8:H       0.407 (2,3,4,1,2,8,8,3,5,10,5,7,3,8,3,7)
   251        8:H        8:H       0.794 (3,5,4,3,3,9,7,6,6,7,6,8,3,8,3,7)
   252        8:H       18:R   +   0.978 (5,9,6,6,6,7,7,5,5,7,5,8,6,6,6,11)
   253        8:H        8:H       0.978 (3,6,4,4,3,7,6,12,1,7,8,8,3,9,0,8)
   254        8:H        8:H       0.986 (7,10,10,8,9,7,8,3,6,10,6,7,3,8,3,8)
   255        8:H       15:O   +   0.776 (2,3,3,2,2,7,7,5,5,7,6,8,3,8,2,8)
   256        8:H       23:W   +   0.911 (7,10,7,5,5,6,8,4,5,9,9,9,7,11,6,7)
   257        8:H        8:H       0.908 (5,6,7,4,4,8,8,3,6,10,5,7,3,8,3,8)
   258        8:H        8:H       0.993 (3,6,4,4,2,7,7,14,1,7,6,8,3,8,0,8)
   259        8:H        8:H       0.997 (4,8,4,5,2,7,8,15,1,7,5,8,3,8,0,8)
   260        8:H        8:H       0.765 (3,2,5,4,4,8,7,6,6,7,6,7,3,8,3,7)
   261        8:H       18:R   +   0.991 (3,6,4,4,3,7,8,7,5,8,5,7,3,7,5,11)
   262        8:H        8:H       0.396 (7,11,9,8,8,8,7,2,6,10,5,8,4,9,4,8)
   263        8:H        8:H       0.996 (5,5,6,6,3,7,6,15,0,7,8,8,3,8,0,8)
   264        8:H        8:H       0.67 (8,11,11,8,7,7,6,3,7,10,5,8,5,6,5,7)
   265        8:H        8:H       0.671 (7,9,10,7,8,8,7,2,6,10,6,8,3,8,3,7)
   266        8:H        8:H       0.853 (6,7,9,5,5,9,6,3,7,10,5,8,3,8,3,8)
   267        8:H        8:H       0.622 (2,4,3,2,2,6,7,5,6,7,6,8,3,8,3,8)
   268        8:H       18:R   +   0.374 (7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9)
   269        8:H       23:W   +   0.863 (8,12,7,6,4,7,8,5,4,9,10,9,7,11,5,9)
   270        8:H        6:F   +   0.676 (5,6,7,4,4,4,10,3,6,10,10,9,3,8,3,6)
   271        8:H        8:H       0.836 (4,7,6,5,4,6,8,3,6,10,8,9,3,8,3,7)
   272        8:H       18:R   +   0.812 (9,12,9,7,6,10,6,4,5,11,2,7,6,7,5,8)
   273        8:H        8:H       0.997 (3,6,4,4,3,7,6,12,1,7,7,8,3,8,0,8)
   274        8:H       11:K   +   0.423 (6,8,8,6,5,10,6,3,7,10,3,7,4,9,4,10)
   275        8:H        8:H       0.542 (7,11,10,8,9,8,7,3,6,10,4,7,4,9,4,9)
   276        8:H        8:H       0.971 (5,10,5,7,3,7,10,15,2,7,3,8,3,8,0,8)
   277        8:H        8:H       0.405 (2,3,4,2,2,7,7,3,5,10,6,8,3,8,2,7)
   278        8:H        8:H       0.83 (3,7,5,5,4,7,7,5,6,7,6,9,6,8,3,7)
   279        8:H        9:I   +   0.869 (1,0,1,0,0,7,7,10,1,7,6,8,2,8,0,8)
   280        8:H       13:M   +   0.569 (9,12,8,6,4,6,6,6,4,9,11,10,7,11,5,9)
   281        8:H       18:R   +   0.512 (6,7,9,5,6,9,7,3,6,10,4,7,5,7,4,9)
   282        8:H        8:H       0.941 (3,2,4,3,3,6,7,6,6,7,6,8,6,8,3,8)
   283        8:H       15:O   +   0.911 (2,3,3,2,2,7,7,6,5,7,6,8,3,8,2,7)
   284        8:H        4:D   +   0.387 (6,7,9,5,5,8,7,3,7,10,4,7,5,6,4,8)
   285        8:H        8:H       0.993 (3,3,4,4,2,7,7,14,1,7,7,8,3,8,0,8)
   286        8:H        8:H       0.84 (7,11,10,8,8,9,7,3,6,10,4,7,6,8,5,8)
   287        8:H        8:H       0.997 (4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8)
   288        8:H        4:D   +   0.38 (4,4,6,3,3,9,7,3,6,10,3,7,3,7,3,9)
   289        8:H        8:H       0.509 (2,3,4,2,2,7,8,3,5,10,7,8,3,8,2,7)
   290        8:H        8:H       0.964 (3,7,4,5,2,7,9,14,2,7,3,8,3,8,0,8)
   291        8:H       15:O   +   0.764 (2,1,3,2,2,6,8,6,5,7,6,8,3,8,3,8)
   292        8:H        8:H       0.769 (5,10,8,8,8,7,7,5,7,7,6,8,6,8,4,8)
   293        8:H        8:H       0.501 (1,1,2,1,1,7,7,11,1,7,6,8,3,8,0,8)
   294        8:H        8:H       0.997 (3,7,4,4,2,7,6,14,1,7,7,8,3,8,0,8)
   295        8:H       11:K   +   0.993 (6,9,8,7,5,5,7,3,7,10,9,10,3,8,4,6)
   296        8:H        8:H       0.994 (5,5,5,7,3,7,7,15,1,7,7,8,3,8,0,8)
   297        8:H       18:R   +   0.952 (5,9,6,7,6,6,8,7,5,7,5,7,3,7,7,10)
   298        8:H       11:K   +   0.942 (9,11,12,8,8,5,7,4,7,10,9,10,3,8,4,6)
   299        8:H        8:H       0.401 (2,1,3,1,2,7,8,6,6,7,6,10,3,8,3,9)
   300        8:H       24:X   +   0.685 (2,3,4,1,2,7,7,3,5,10,6,8,3,8,3,8)
   301       13:M       13:M       0.907 (6,10,7,5,4,9,3,2,2,9,4,9,8,2,2,9)
   302       13:M       13:M       0.98 (5,5,6,4,5,8,6,6,5,7,7,8,9,6,3,7)
   303       13:M       13:M       0.992 (3,1,4,2,1,7,7,11,1,7,9,8,7,6,0,8)
   304       13:M       13:M       1 (4,10,5,8,6,7,6,10,0,7,8,8,7,5,0,8)
   305       13:M       13:M       0.42 (6,6,9,6,9,9,8,5,4,7,6,7,11,9,6,3)
   306       13:M       13:M       1 (4,5,5,8,4,8,7,12,2,6,9,8,8,6,0,8)
   307       13:M       13:M       1 (7,10,9,8,9,8,7,6,5,6,7,8,8,6,2,7)
   308       13:M        1:A   +   0.822 (5,9,6,4,4,6,4,2,2,8,4,10,7,3,1,9)
   309       13:M       13:M       1 (5,10,8,8,6,6,6,3,4,9,9,9,8,5,2,7)
   310       13:M       13:M       0.995 (3,3,5,2,3,7,6,3,4,9,8,9,6,5,2,9)
   311       13:M       13:M       0.997 (2,0,2,0,1,7,6,10,0,7,9,8,6,6,0,8)
   312       13:M       13:M       1 (5,9,7,7,8,8,7,6,4,6,7,8,8,6,2,7)
   313       13:M       14:N   +   0.826 (4,7,6,5,6,7,8,6,4,7,6,8,5,9,7,7)
   314       13:M       13:M       0.999 (3,7,5,5,5,10,6,6,4,6,7,5,7,5,1,5)
   315       13:M       13:M       0.998 (5,7,5,5,4,7,5,11,0,8,8,8,8,5,1,10)
   316       13:M       13:M       0.982 (1,0,2,0,0,7,6,9,0,7,8,8,5,6,0,8)
   317       13:M       13:M       0.998 (4,9,5,6,3,7,7,12,1,7,9,8,8,6,0,8)
   318       13:M       11:K   +   0.585 (8,12,9,6,5,3,8,5,6,4,2,11,8,8,2,8)
   319       13:M       13:M       1 (4,2,5,4,4,8,6,6,4,6,7,8,8,6,2,7)
   320       13:M       15:O   +   0.317 (5,10,7,8,10,8,8,7,4,7,6,8,8,9,9,4)
   321       13:M       13:M       1 (2,0,3,1,1,8,6,10,0,7,9,8,7,6,0,8)
   322       13:M       13:M       0.911 (10,9,10,4,4,7,11,5,5,4,5,10,10,12,2,7)
   323       13:M       13:M       0.999 (3,2,5,4,4,9,6,6,4,6,7,6,7,6,2,5)
   324       13:M       13:M       0.999 (4,9,5,6,5,8,6,11,1,7,8,8,7,5,0,8)
   325       13:M       13:M       1 (5,10,8,7,7,9,6,2,4,8,5,7,7,6,2,8)
   326       13:M       17:Q   +   0.54 (5,8,6,6,7,7,9,6,4,6,6,8,9,9,8,10)
   327       13:M       13:M       1 (4,10,5,8,6,7,5,11,1,7,9,8,9,5,2,8)
   328       13:M       13:M       0.996 (2,1,2,2,1,7,6,10,0,7,8,8,6,6,0,8)
   329       13:M       13:M       1 (6,10,7,8,7,8,5,11,0,7,9,8,10,5,3,7)
   330       13:M       13:M       0.999 (4,2,5,3,4,6,6,6,5,7,7,10,8,6,2,8)
   331       13:M       13:M       0.985 (6,10,9,7,7,10,6,2,5,9,3,6,9,8,2,9)
   332       13:M       13:M       0.927 (4,8,6,6,7,9,7,5,5,6,7,6,8,7,2,6)
   333       13:M       13:M       0.939 (7,11,11,8,15,9,7,3,3,8,5,7,12,4,5,5)
   334       13:M       13:M       0.757 (4,4,6,3,4,5,6,4,4,10,10,10,6,5,2,7)
   335       13:M       13:M       0.748 (6,9,10,7,12,7,5,3,2,7,5,8,15,7,4,6)
   336       13:M       13:M       0.927 (2,1,3,2,2,6,6,6,4,7,7,10,6,5,2,9)
   337       13:M       13:M       0.956 (2,1,3,1,2,8,6,6,4,7,7,8,6,5,1,7)
   338       13:M        2:B   +   0.338 (4,8,6,6,7,7,8,6,4,6,6,8,6,9,7,10)
   339       13:M       13:M       0.992 (4,6,6,4,4,11,7,2,4,9,3,6,7,6,2,8)
   340       13:M       14:N   +   0.576 (6,10,8,8,9,7,10,6,4,7,7,8,6,8,6,8)
   341       13:M       13:M       1 (5,9,8,7,8,8,7,6,5,6,7,8,8,6,2,8)
   342       13:M       13:M       0.996 (5,11,6,9,4,7,7,12,2,7,9,8,9,6,0,8)
   343       13:M       13:M       1 (4,2,5,4,4,9,6,6,4,6,7,6,8,6,2,6)
   344       13:M       13:M       1 (5,8,8,6,6,8,6,6,5,6,7,8,8,6,2,7)
   345       13:M       13:M       1 (6,9,9,6,7,9,6,2,5,9,5,7,8,6,2,8)
   346       13:M       14:N   +   0.223 (4,7,5,5,6,7,7,7,4,6,5,8,6,9,7,8)
   347       13:M       13:M       0.873 (2,3,3,1,2,8,7,6,3,6,7,8,6,5,1,7)
   348       13:M       13:M       0.993 (7,11,10,8,13,11,5,3,3,9,4,8,11,8,4,8)
   349       13:M        1:A   +   0.986 (7,12,8,7,4,12,2,4,3,12,1,8,6,3,1,9)
   350       13:M       12:L   +   0.74 (15,15,15,8,8,3,9,6,6,3,2,13,10,12,2,8)
   351       13:M       15:O   +   0.643 (3,7,4,5,5,8,7,6,3,7,5,8,5,9,5,8)
   352       13:M       13:M       0.999 (3,4,6,3,3,7,6,3,4,9,8,9,7,5,2,9)
   353       13:M        1:A   +   0.673 (9,12,12,7,5,10,2,3,2,10,2,9,8,1,1,8)
   354       13:M       13:M       0.746 (2,3,3,2,2,7,6,6,3,7,7,8,5,5,1,8)
   355       13:M       13:M       0.981 (2,3,4,2,3,7,6,3,3,9,7,8,6,5,1,8)
   356       13:M       13:M       0.618 (5,11,7,8,9,8,9,7,4,7,7,8,8,8,9,5)
   357       13:M       13:M       0.987 (2,3,4,2,2,7,6,3,4,9,7,8,6,5,1,8)
   358       13:M       11:K   +   0.77 (5,7,8,5,6,3,7,4,5,11,11,10,5,8,2,6)
   359       13:M       13:M       0.994 (3,4,4,3,3,7,6,6,4,6,7,9,6,5,2,8)
   360       13:M       13:M       0.999 (4,7,6,5,5,7,6,6,5,7,7,9,8,5,2,9)
   361       13:M       13:M       0.987 (3,6,4,4,2,7,7,11,1,7,9,8,8,6,0,8)
   362       13:M       13:M       1 (5,9,6,7,6,7,5,11,1,7,9,8,9,5,2,9)
   363        6:F        6:F       1 (4,10,4,7,2,1,14,5,4,13,10,5,0,8,2,5)
   364        6:F       14:N   +   0.248 (5,6,6,7,6,7,10,5,6,8,6,8,4,8,7,6)
   365        6:F       19:S   +   0.777 (10,13,8,8,4,8,8,4,7,13,4,6,2,7,7,8)
   366        6:F        6:F       0.99 (2,3,4,2,2,7,9,2,6,13,6,5,2,9,2,7)
   367        6:F       19:S   +   0.593 (6,7,8,8,8,7,9,4,4,7,6,7,4,9,9,8)
   368        6:F        6:F       1 (3,10,3,7,1,0,13,4,4,12,10,6,0,8,2,6)
   369        6:F        6:F       0.937 (1,3,2,1,1,6,10,3,4,13,7,5,1,9,1,8)
   370        6:F        4:D   +   0.47 (4,6,6,4,5,11,6,1,5,9,5,6,5,9,4,7)
   371        6:F        6:F       0.853 (2,1,2,3,2,5,10,4,5,10,9,6,1,10,3,7)
   372        6:F        6:F       0.998 (1,0,1,0,0,3,11,4,3,11,9,7,0,8,2,8)
   373        6:F        6:F       0.943 (2,3,2,2,1,5,10,4,5,10,9,6,1,10,3,7)
   374        6:F        6:F       0.978 (2,3,4,1,1,5,12,4,4,13,7,4,1,9,1,7)
   375        6:F       16:P   +   0.551 (4,6,6,4,2,3,15,4,3,13,8,3,1,10,2,5)
   376        6:F        6:F       0.872 (2,4,4,3,2,6,11,2,6,13,6,4,1,10,1,7)
   377        6:F        6:F       0.98 (2,4,4,3,1,5,12,3,5,13,7,3,1,10,1,6)
   378        6:F        6:F       0.495 (8,14,7,8,3,5,10,3,5,12,6,5,2,8,6,4)
   379        6:F       17:Q   +   0.439 (5,7,6,5,6,7,8,6,4,8,6,8,3,10,8,10)
   380        6:F        6:F       0.969 (2,3,3,1,1,6,12,3,4,13,7,3,1,9,1,7)
   381        6:F        6:F       0.983 (2,3,2,2,1,6,10,4,5,10,9,5,1,10,3,6)
   382        6:F        6:F       0.95 (2,7,3,4,1,1,11,4,6,11,11,10,0,8,2,6)
   383        6:F        6:F       0.596 (3,8,5,6,3,6,11,4,6,11,9,4,2,10,3,5)
   384        6:F       20:T   +   0.436 (8,13,7,7,4,5,9,2,7,11,7,6,2,10,5,5)
   385        6:F        6:F       0.72 (5,10,6,8,4,4,11,4,6,11,10,5,2,10,2,5)
   386        6:F       16:P   +   0.923 (4,9,5,6,3,8,9,2,6,14,5,4,2,10,3,8)
   387        6:F        6:F       1 (4,8,4,5,1,1,15,5,3,13,10,5,0,8,2,5)
   388        6:F       24:X   +   0.506 (5,10,5,5,3,7,8,3,4,10,6,7,4,8,7,6)
   389        6:F        6:F       0.971 (5,10,7,8,5,6,11,1,6,13,7,5,1,10,2,7)
   390        6:F        6:F       0.956 (2,1,2,2,1,6,10,4,5,10,9,5,1,10,3,6)
   391        6:F        6:F       0.994 (5,9,7,7,4,6,10,2,5,13,7,5,1,10,2,7)
   392        6:F        6:F       1 (1,0,1,0,0,3,12,4,2,11,8,5,0,8,2,7)
   393        6:F       23:W   +   0.979 (6,11,9,8,9,5,8,2,4,10,9,8,6,11,6,6)
   394        6:F        5:E   +   0.273 (5,11,6,8,7,7,8,5,4,8,6,8,9,10,7,12)
   395        6:F        6:F       0.972 (5,11,5,8,2,1,11,5,7,11,11,9,0,8,2,6)
   396        6:F       24:X   +   0.834 (3,7,6,5,5,8,8,1,4,9,6,6,3,10,4,4)
   397        6:F        6:F       0.916 (6,13,6,7,3,7,9,2,6,12,5,5,2,9,6,6)
   398        6:F        6:F       0.984 (3,6,5,4,3,5,10,4,6,10,9,5,2,9,3,5)
   399        6:F        6:F       0.647 (2,3,4,2,2,8,9,2,6,13,5,4,1,9,2,8)
   400        6:F        6:F       0.986 (2,2,3,3,2,5,10,4,5,11,9,5,1,10,3,6)
   401        6:F        6:F       0.891 (5,11,7,8,5,9,8,1,6,13,5,5,2,9,3,9)
   402        6:F        6:F       0.996 (4,8,4,6,3,1,11,4,6,11,10,9,0,8,2,7)
   403        6:F        6:F       0.97 (2,3,2,1,1,5,10,4,5,10,9,6,1,9,3,7)
   404        6:F        6:F       0.994 (2,3,3,4,1,1,11,5,6,11,10,9,0,8,3,7)
   405        6:F        6:F       0.968 (3,5,5,3,2,6,11,2,6,14,7,4,1,9,2,7)
   406        6:F        6:F       0.986 (4,9,5,6,4,5,10,5,6,11,10,5,2,9,2,5)
   407        6:F        6:F       0.917 (2,1,2,2,1,5,10,4,5,10,9,6,1,9,3,7)
   408        6:F        6:F       0.423 (5,8,6,10,7,7,9,5,5,8,6,8,4,10,7,5)
   409        6:F        6:F       0.987 (5,11,7,8,5,4,11,5,4,13,9,5,2,10,2,5)
   410        6:F        6:F       0.987 (6,10,8,7,5,6,10,1,6,13,7,5,1,10,2,7)
   411        6:F        6:F       0.657 (3,4,5,3,2,8,9,2,7,13,5,5,2,9,3,8)
   412        6:F       19:S   +   0.42 (4,8,5,6,5,7,9,6,4,8,5,8,3,11,9,10)
   413        6:F        6:F       0.994 (3,7,4,5,3,4,10,3,5,10,10,6,1,10,3,6)
   414        6:F        6:F       0.999 (4,10,4,7,3,1,12,4,4,11,10,8,0,8,2,6)
   415        6:F        6:F       0.726 (2,3,3,2,1,6,11,3,5,12,7,4,1,9,1,7)
   416        6:F        6:F       1 (3,3,3,4,1,1,12,4,4,12,10,7,0,8,2,6)
   417        6:F        6:F       0.99 (4,8,4,6,3,1,11,3,4,11,11,8,0,8,2,7)
   418        6:F       18:R   +   0.877 (5,9,6,7,6,6,10,6,5,8,5,8,3,10,8,10)
   419        6:F        6:F       0.637 (3,9,5,7,3,4,11,3,6,11,10,5,1,10,2,5)
   420        6:F       19:S   +   0.644 (5,7,6,8,7,7,9,4,4,7,6,7,4,9,9,8)
   421        6:F        6:F       1 (5,12,6,8,2,1,13,5,4,12,10,7,0,8,3,6)
   422        6:F        6:F       0.972 (5,11,7,8,5,6,11,2,5,13,7,4,2,10,2,7)
   423        6:F        6:F       0.891 (4,11,6,8,4,5,11,4,6,11,10,5,2,10,3,5)
   424        6:F        6:F       0.988 (3,7,3,5,1,1,11,4,6,11,11,9,0,8,2,6)
   425        6:F       16:P   +   0.584 (1,1,2,2,1,6,10,4,4,10,8,5,1,9,3,7)
   426        1:A        1:A       1 (3,8,5,6,2,11,2,4,3,11,2,10,2,6,3,8)
   427        1:A        1:A       1 (2,2,4,4,2,8,2,1,2,7,2,8,2,7,3,7)
   428        1:A        1:A       1 (2,3,3,1,1,6,2,2,1,5,2,8,1,6,1,7)
   429        1:A        1:A       0.788 (5,12,5,6,4,11,2,4,2,11,4,11,5,4,5,10)
   430        1:A        1:A       1 (2,1,4,2,2,7,2,2,2,7,2,8,2,7,3,7)
   431        1:A        2:B   +   0.328 (5,7,7,5,7,7,8,8,4,7,5,8,4,8,9,4)
   432        1:A       14:N   +   0.811 (5,10,9,7,6,7,5,2,4,5,1,6,5,7,5,5)
   433        1:A        1:A       0.897 (4,9,3,4,2,11,5,4,1,8,4,9,4,6,4,9)
   434        1:A       14:N   +   0.747 (4,8,6,7,7,10,8,3,4,6,7,6,5,9,5,5)
   435        1:A        1:A       1 (4,9,6,6,2,7,4,3,1,6,1,8,3,7,2,7)
   436        1:A        1:A       1 (3,7,4,5,3,8,3,2,2,7,2,8,2,6,3,7)
   437        1:A        1:A       1 (3,5,6,3,2,8,2,2,2,6,1,8,2,6,2,7)
   438        1:A        1:A       0.915 (6,13,5,7,3,8,1,2,2,9,4,12,3,5,4,6)
   439        1:A        1:A       1 (3,2,6,4,2,10,2,2,2,9,1,8,2,6,2,8)
   440        1:A        1:A       0.836 (5,10,5,6,3,10,2,4,2,11,6,13,5,4,5,10)
   441        1:A        1:A       1 (2,1,4,2,1,8,2,2,1,7,2,8,2,7,2,7)
   442        1:A        1:A       1 (3,7,5,5,3,10,2,2,2,9,2,8,2,6,4,8)
   443        1:A        1:A       1 (3,8,5,6,4,11,2,2,2,9,2,9,3,6,3,8)
   444        1:A       24:X   +   0.559 (4,11,8,8,6,9,5,1,4,7,2,6,3,8,6,6)
   445        1:A        1:A       1 (3,5,5,3,2,11,2,2,2,9,2,9,2,6,2,8)
   446        1:A        1:A       0.998 (5,11,7,9,5,10,2,2,3,9,1,7,3,7,4,8)
   447        1:A        1:A       0.827 (3,7,6,5,4,5,5,3,3,3,2,6,4,6,4,4)
   448        1:A        1:A       1 (3,7,5,5,3,6,3,2,2,4,2,7,2,5,2,6)
   449        1:A        1:A       1 (3,8,5,6,2,7,6,3,1,7,0,8,2,7,1,8)
   450        1:A        1:A       1 (4,7,6,5,2,8,3,3,3,9,1,8,2,7,3,7)
   451        1:A        1:A       0.951 (6,9,6,5,3,12,3,5,2,12,3,10,5,3,3,10)
   452        1:A        1:A       1 (3,7,5,5,3,11,3,2,2,9,1,9,3,5,2,8)
   453        1:A        1:A       1 (2,3,4,4,1,10,5,3,1,8,1,8,2,7,2,8)
   454        1:A       11:K   +   0.674 (7,11,7,6,4,10,1,4,2,11,6,14,4,5,5,11)
   455        1:A        1:A       1 (1,0,2,0,0,8,3,2,0,7,2,8,2,6,1,8)
   456        1:A       13:M   +   0.546 (5,10,8,8,6,6,5,2,4,4,2,7,6,7,6,4)
   457        1:A        1:A       1 (3,11,6,8,2,6,6,3,1,6,0,8,2,7,2,7)
   458        1:A       18:R   +   0.985 (4,9,6,7,6,8,9,8,5,6,5,8,3,6,7,5)
   459        1:A        1:A       0.998 (5,11,7,8,3,9,3,3,3,7,2,9,3,7,3,9)
   460        1:A        1:A       1 (2,3,3,1,1,8,2,2,1,7,2,8,2,7,2,7)
   461        1:A        1:A       1 (3,7,5,5,3,10,2,2,2,9,1,8,2,6,3,8)
   462        1:A        1:A       1 (2,3,4,2,1,10,2,3,2,10,2,10,2,6,2,8)
   463        1:A        1:A       1 (2,6,4,4,2,8,2,2,2,7,2,8,2,6,3,6)
   464        1:A        1:A       1 (2,5,4,3,2,7,3,1,2,6,2,8,3,5,2,8)
   465        1:A        1:A       1 (2,8,4,6,2,8,4,3,2,7,1,8,3,7,2,8)
   466        1:A        1:A       1 (4,8,6,6,4,8,3,2,2,6,2,7,2,6,2,7)
   467        1:A        1:A       1 (1,3,2,2,1,10,2,2,1,9,2,9,1,6,2,8)
   468        1:A        1:A       1 (2,6,3,4,2,9,5,2,0,8,2,8,2,6,1,8)
   469        1:A        1:A       1 (3,11,5,8,3,13,3,4,3,12,1,9,2,6,3,9)
   470        1:A        1:A       1 (4,9,5,7,4,7,5,3,0,7,1,8,2,7,1,8)
   471        1:A        1:A       0.679 (6,14,6,8,5,11,3,4,2,11,3,11,5,3,4,11)
   472        1:A        1:A       1 (3,8,5,5,2,9,6,3,1,7,0,8,2,7,1,8)
   473        1:A        1:A       0.991 (4,10,7,7,2,8,7,3,0,7,0,8,3,7,2,8)
   474        1:A        5:E   +   0.509 (4,9,6,7,6,8,6,6,4,7,6,9,5,8,7,3)
   475        1:A        1:A       1 (3,5,5,8,2,7,6,3,1,6,0,8,2,7,1,8)
   476        1:A        1:A       1 (2,5,4,4,2,5,3,2,2,5,2,8,2,6,2,6)
   477        1:A       18:R   +   0.556 (3,8,5,6,5,8,8,6,4,6,6,8,3,7,6,4)
   478        1:A       11:K   +   0.434 (8,12,8,6,4,11,0,4,3,12,6,14,4,5,5,11)
   479        1:A        1:A       1 (2,5,4,4,2,11,3,3,2,10,2,9,2,6,2,8)
   480        1:A        1:A       1 (3,9,5,6,3,12,2,4,2,11,2,9,3,7,3,9)
   481        1:A        1:A       1 (3,8,5,5,2,7,4,3,1,7,1,8,3,7,2,8)
   482        1:A        4:D   +   0.23 (6,8,8,6,7,6,7,7,5,7,5,9,4,8,11,3)
   483        1:A        1:A       1 (2,1,3,1,1,7,4,2,0,7,1,8,3,6,1,8)
   484        1:A       17:Q   +   0.634 (4,7,6,5,6,8,5,7,4,8,6,8,5,9,7,4)
   485        1:A        1:A       0.982 (4,7,7,5,4,6,5,2,3,4,2,6,4,6,4,5)
   486        1:A        1:A       0.362 (5,8,9,6,6,7,5,2,4,6,1,6,5,7,5,6)
   487        1:A        1:A       1 (2,4,4,5,1,5,5,3,1,5,1,8,2,7,2,7)
   488        1:A       20:T   +   0.592 (4,9,6,8,6,10,7,4,6,6,9,5,5,11,4,4)
   489       18:R       18:R       0.654 (3,4,4,3,3,7,8,4,5,6,5,7,2,6,4,8)
   490       18:R       18:R       0.975 (1,0,2,1,1,6,9,7,3,7,5,7,2,7,4,10)
   491       18:R       18:R       0.271 (7,13,6,7,5,8,6,3,5,8,5,9,6,9,6,7)
   492       18:R       18:R       0.999 (3,8,4,6,4,5,11,7,3,8,4,9,2,6,5,11)
   493       18:R        4:D   +   0.46 (3,2,4,4,3,7,7,5,5,6,5,6,3,7,4,8)
   494       18:R       18:R       0.973 (3,5,5,4,3,9,7,4,5,9,4,7,3,7,4,10)
   495       18:R       18:R       0.884 (6,9,6,4,4,8,7,3,5,9,4,8,6,7,6,8)
   496       18:R       18:R       0.936 (3,6,5,4,4,6,8,5,5,6,4,8,3,6,4,8)
   497       18:R        2:B   +   0.595 (6,10,8,8,7,8,8,6,6,6,5,7,3,6,6,9)
   498       18:R       18:R       0.994 (4,8,5,6,4,8,7,5,6,8,5,8,3,6,6,11)
   499       18:R       18:R       1 (3,8,4,5,2,6,10,9,4,7,4,8,3,7,5,11)
   500       18:R       18:R       0.677 (8,15,8,8,7,5,8,2,5,7,3,9,6,6,6,5)
   501       18:R       18:R       0.995 (4,9,6,7,6,9,8,4,5,9,4,7,3,7,3,11)
   502       18:R       18:R       0.979 (5,11,6,8,4,6,9,10,5,6,5,8,3,8,6,11)
   503       18:R       18:R       0.986 (1,1,2,1,1,6,9,7,3,7,5,8,2,7,4,11)
   504       18:R       18:R       0.613 (5,9,5,7,5,6,8,8,4,6,5,7,3,8,6,13)
   505       18:R       18:R       0.993 (7,11,9,8,9,9,8,4,5,10,4,7,3,7,5,11)
   506       18:R       18:R       0.913 (2,0,2,1,1,6,10,7,2,7,5,8,2,7,4,10)
   507       18:R        2:B   +   0.971 (5,11,6,8,7,6,8,9,5,6,5,8,2,8,8,9)
   508       18:R       18:R       1 (4,11,5,8,3,6,11,10,4,7,3,9,3,7,5,11)
   509       18:R       18:R       0.994 (6,10,8,7,6,8,9,4,6,8,4,8,3,6,6,11)
   510       18:R        4:D   +   0.271 (3,6,5,4,3,10,7,3,5,11,2,6,3,7,2,10)
   511       18:R       18:R       1 (5,5,5,6,3,5,12,9,4,7,3,9,3,7,6,11)
   512       18:R       18:R       0.996 (4,8,6,6,5,9,7,4,5,9,3,8,3,7,4,11)
   513       18:R       17:Q   +   0.643 (6,10,8,8,6,7,9,5,7,5,4,9,4,4,7,8)
   514       18:R       18:R       0.993 (4,9,6,6,5,9,7,5,5,9,4,7,3,7,4,11)
   515       18:R        7:G   +   0.517 (2,4,2,3,2,7,7,5,5,6,5,7,2,7,4,8)
   516       18:R       18:R       0.818 (2,5,4,4,3,7,8,5,5,8,6,7,3,7,5,10)
   517       18:R       13:M   +   0.492 (5,10,8,8,9,6,7,3,4,7,6,9,8,10,8,5)
   518       18:R       18:R       0.75 (2,1,3,3,2,6,7,4,5,6,5,7,2,6,4,8)
   519       18:R       11:K   +   0.439 (4,8,6,6,5,10,7,2,6,11,2,7,4,7,3,10)
   520       18:R       18:R       0.664 (3,1,3,2,2,7,8,5,5,6,5,7,2,6,4,8)
   521       18:R       18:R       0.462 (4,8,5,6,5,8,5,7,4,7,6,8,4,7,6,10)
   522       18:R       18:R       1 (4,10,4,7,3,5,11,9,4,7,3,9,3,7,6,11)
   523       18:R       18:R       0.306 (6,10,8,7,8,8,8,7,5,7,5,8,5,9,7,12)
   524       18:R       18:R       0.959 (3,4,5,3,3,8,8,3,5,9,4,7,2,6,4,10)
   525       18:R       18:R       0.414 (4,8,5,6,5,8,8,6,5,8,6,7,3,7,5,9)
   526       18:R       18:R       0.845 (4,8,6,6,6,8,6,7,3,7,5,7,4,6,7,8)
   527       18:R       18:R       1 (4,10,5,7,3,5,10,9,4,7,4,8,3,7,6,11)
   528       18:R       18:R       0.654 (2,4,3,3,3,7,8,5,5,7,5,7,2,6,4,8)
